episode,reward,average_reward,average_loss,epsilon,buffer_size,evaluation_reward
241,91.0,75.86,3.554016697537768,0.2987875242397482,14081,
242,94.0,75.56,4.182139492732413,0.29729358661854943,14175,
243,99.0,75.13,3.5734654944954496,0.29580711868545667,14274,
244,47.0,74.83,4.685487479605573,0.2943280830920294,14321,
245,166.0,75.64,3.7432316543467072,0.29285644267656924,14487,
246,78.0,76.19,3.068963086948945,0.2913921604631864,14565,
247,132.0,76.38,3.744390384265871,0.28993519966087045,14697,
248,174.0,77.7,3.825175621985704,0.2884855236625661,14871,
249,179.0,79.12,4.197985114997992,0.28704309604425327,15050,
250,12.0,78.88,3.3765624662240348,0.285607880564032,15062,209.7
251,94.0,79.58,4.592324159880902,0.28417984116121187,15156,
252,18.0,79.64,4.716115829017427,0.2827589419554058,15174,
253,35.0,79.63,3.596345477444785,0.28134514724562876,15209,
254,13.0,79.63,4.967874985474807,0.2799384215094006,15222,
255,106.0,79.52,4.335984043074104,0.27853872940185365,15328,
256,35.0,79.67,6.397000665324075,0.27714603575484437,15363,
257,141.0,80.92,3.2389249063975423,0.2757603055760701,15504,
258,60.0,79.89,2.5502157357831794,0.2743815040481898,15564,
259,42.0,78.86,3.870141462201164,0.2730095965279488,15606,
260,13.0,78.88,5.679190158843994,0.27164454854530906,15619,
261,68.0,79.43,3.288942546090659,0.2702863258025825,15687,
262,15.0,78.82,7.768090609709422,0.2689348941735696,15702,
263,113.0,79.51,3.795844464175469,0.26759021970270175,15815,
264,32.0,79.55,4.2094510132446885,0.2662522686041882,15847,
265,101.0,79.81,4.974891850263766,0.2649210072611673,15948,
266,73.0,80.35,6.158726497055733,0.26359640222486147,16021,
267,12.0,80.34,3.111088360349337,0.26227842021373715,16033,
268,98.0,81.09,4.267857125219034,0.2609670281126685,16131,
269,11.0,80.94,2.557760319926522,0.25966219297210513,16142,
270,103.0,80.19,3.9664664855859812,0.2583638820072446,16245,
271,20.0,80.27,3.042302978038788,0.2570720625972084,16265,
272,110.0,81.02,3.7202984938567334,0.25578670228422234,16375,
273,114.0,81.36,3.5534624241684614,0.25450776877280124,16489,
274,18.0,81.31,4.808183865414725,0.2532352299289372,16507,
275,139.0,82.48,3.9303841946793976,0.2519690537792925,16646,107.5
276,174.0,84.07,3.7033632127032883,0.2507092085103961,16820,
277,98.0,83.92,3.423519939184189,0.2494556624678441,16918,
278,13.0,82.41,3.599315349872296,0.24820838415550486,16931,
279,84.0,81.88,3.0669268618027368,0.24696734223472733,17015,
280,11.0,81.59,7.368235566399314,0.2457325055235537,17026,
281,27.0,81.72,4.2506730666867005,0.24450384299593592,17053,
282,61.0,81.69,5.238320005721733,0.24328132378095624,17114,
283,477.0,86.2,3.7682606129276426,0.24206491716205145,17591,
284,346.0,89.56,3.4879289368501287,0.2408545925762412,17937,
285,247.0,90.31,3.8562971768591567,0.23965031961336,18184,
286,193.0,92.01,3.662973999977112,0.2384520680152932,18377,
287,107.0,92.35,2.9220723236832664,0.23725980767521673,18484,
288,296.0,93.82,3.4467185133615055,0.23607350863684065,18780,
289,43.0,91.97,4.469130428724511,0.23489314109365644,18823,
290,41.0,91.98,5.100967465377435,0.23371867538818816,18864,
291,186.0,93.57,2.9463557036974097,0.23255008201124722,19050,
292,108.0,93.24,3.2154796007606716,0.231387331601191,19158,
293,130.0,94.35,4.448194428132131,0.23023039494318503,19288,
294,116.0,93.62,4.109441447617678,0.2290792429684691,19404,
295,167.0,93.54,3.6408162854031887,0.22793384675362674,19571,
296,107.0,93.38,3.948696460957839,0.22679417751985861,19678,
297,114.0,92.64,2.8807214001814523,0.22566020663225933,19792,
298,25.0,91.18,2.5312758588790896,0.22453190559909803,19817,
299,12.0,90.72,2.78243180612723,0.22340924607110255,19829,
300,114.0,91.56,3.1417727933118216,0.22229219984074702,19943,119.9
301,54.0,91.49,2.8275535653034845,0.2211807388415433,19997,
302,27.0,90.01,7.397913290394677,0.22007483514733558,20024,
303,29.0,89.81,5.1545108114850935,0.2189744609715989,20053,
304,99.0,89.99,2.7003270812106854,0.2178795886667409,20152,
305,106.0,89.3,4.159276696870911,0.2167901907234072,20258,
306,102.0,90.0,4.095056627603138,0.21570623976979014,20360,
307,10.0,88.98,3.763792109489441,0.21462770857094118,20370,
308,128.0,90.09,3.4457905755843967,0.21355457002808648,20498,
309,15.0,89.75,3.4496034065882366,0.21248679717794605,20513,
310,12.0,88.38,4.2375491335988045,0.21142436319205632,20525,
311,115.0,88.59,3.445670260553775,0.21036724137609603,20640,
312,9.0,88.41,1.3213103082444932,0.20931540516921554,20649,
313,18.0,88.42,7.219454455706808,0.20826882814336947,20667,
314,104.0,88.18,5.682148124162968,0.20722748400265262,20771,
315,102.0,88.9,6.504605368071911,0.20619134658263935,20873,
316,104.0,88.56,4.677587373612019,0.20516038984972615,20977,
317,16.0,88.2,2.603871777653694,0.2041345879004775,20993,
318,101.0,89.03,3.7179171018081134,0.2031139149609751,21094,
319,14.0,87.27,5.104821562767029,0.20209834538617025,21108,
320,100.0,86.83,2.530079453587532,0.2010878536592394,21208,
321,11.0,85.86,1.6202762722969055,0.2000824143909432,21219,
322,17.0,85.89,4.578922979971942,0.19908200231898848,21236,
323,120.0,86.91,4.170300756891568,0.19808659230739353,21356,
324,38.0,86.15,6.0705131449197465,0.19709615934585656,21394,
325,102.0,85.72,4.5588205643728665,0.19611067854912728,21496,99.3
326,14.0,84.63,3.392423580799784,0.19513012515638165,21510,
327,93.0,85.43,4.184498872808231,0.19415447453059972,21603,
328,11.0,85.43,2.8876409747383813,0.19318370215794672,21614,
329,108.0,86.36,4.035554364047669,0.192217783647157,21722,
330,105.0,87.25,3.2608554496651605,0.1912566947289212,21827,
331,100.0,87.21,4.750304415673018,0.1903004112552766,21927,
332,102.0,87.1,4.908416729931738,0.18934890919900021,22029,
333,27.0,86.39,3.1074312925338745,0.18840216465300522,22056,
334,99.0,86.94,5.1440208698764,0.18746015382974018,22155,
335,102.0,86.96,4.411468218354618,0.1865228530605915,22257,
336,26.0,86.24,5.445444831481347,0.18559023879528855,22283,
337,101.0,86.31,6.573982222540544,0.1846622876013121,22384,
338,89.0,86.09,4.701729293619649,0.18373897616330553,22473,
339,90.0,85.97,5.066508546471596,0.182820281282489,22563,
340,24.0,85.97,3.563573860873779,0.18190617987607657,22587,
341,105.0,86.11,5.4806952777363005,0.18099664897669618,22692,
342,68.0,85.85,3.8405817563042923,0.1800916657318127,22760,
343,116.0,86.02,2.6967652622481872,0.17919120740315364,22876,
344,122.0,86.77,5.694965833767515,0.17829525136613786,22998,
345,117.0,86.28,3.046169882401442,0.17740377510930716,23115,
346,41.0,85.91,4.073750207336937,0.17651675623376062,23156,
347,111.0,85.7,4.127300322861285,0.1756341724525918,23267,
348,16.0,84.12,9.600752376019955,0.17475600159032884,23283,
349,211.0,84.44,4.79129295185279,0.17388222158237718,23494,
350,15.0,84.47,2.865531208117803,0.1730128104744653,23509,257.6
351,234.0,85.87,3.8446077757920976,0.17214774642209296,23743,
352,500.0,90.69,3.7664876621365546,0.1712870076899825,24243,
353,344.0,93.78,4.247692223984835,0.17043057265153258,24587,
354,500.0,98.65,4.26103062492609,0.16957841978827493,25087,
355,14.0,97.73,18.699444134320533,0.16873052768933355,25101,
356,196.0,99.34,5.299669788200028,0.1678868750508869,25297,
357,180.0,99.73,4.874458921286795,0.16704744067563246,25477,
358,306.0,102.19,4.211257263531093,0.1662122034722543,25783,
359,370.0,105.47,3.790929035882692,0.16538114245489302,26153,
360,330.0,108.64,3.8309797042247022,0.16455423674261854,26483,
361,500.0,112.96,4.278449173986912,0.16373146555890544,26983,
362,129.0,114.1,4.995001859905184,0.16291280823111093,27112,
363,277.0,115.74,5.4405040751725755,0.16209824418995536,27389,
364,205.0,117.47,4.546699187086849,0.16128775296900558,27594,
365,24.0,116.7,6.264604081710179,0.16048131420416054,27618,
366,193.0,117.9,5.239841015690967,0.15967890763313974,27811,
367,165.0,119.43,4.921627308744373,0.15888051309497406,27976,
368,208.0,120.53,4.155148848174856,0.1580861105294992,28184,
369,350.0,123.92,3.0482230477673666,0.1572956799768517,28534,
370,15.0,123.04,2.384186553955078,0.15650920157696743,28549,
371,14.0,122.98,1.4564271058355058,0.1557266555690826,28563,
372,226.0,124.14,3.887096296369502,0.1549480222912372,28789,
373,130.0,124.3,4.9716776334322414,0.15417328217978102,28919,
374,308.0,127.2,4.572769307567702,0.1534024157688821,29227,
375,152.0,127.33,4.484824739200504,0.1526354036900377,29379,132.4
376,209.0,127.68,4.369760106767764,0.1518722266715875,29588,
377,212.0,128.82,4.153798773744196,0.15111286553822956,29800,
378,19.0,128.88,1.6830200396086041,0.15035730121053842,29819,
379,248.0,130.52,3.811053171994225,0.14960551470448571,30067,
380,12.0,130.53,1.90017835299174,0.14885748713096328,30079,
381,137.0,131.63,4.440501599633781,0.14811319969530845,30216,
382,233.0,133.35,4.271777178340716,0.1473726336968319,30449,
383,240.0,130.98,5.131434726466735,0.14663577052834775,30689,
384,36.0,127.88,6.516489053765933,0.14590259167570602,30725,
385,400.0,129.41,4.250925288721919,0.1451730787173275,31125,
386,316.0,130.64,4.892422316949578,0.14444721332374086,31441,
387,182.0,131.39,4.015609738263455,0.14372497725712216,31623,
388,18.0,128.61,1.7729303571912978,0.14300635237083656,31641,
389,251.0,130.69,2.5126815163994216,0.14229132060898236,31892,
390,360.0,133.88,4.652724490149153,0.14157986400593744,32252,
391,279.0,134.81,3.5318925413820477,0.14087196468590776,32531,
392,315.0,136.88,4.890551573274627,0.14016760486247823,32846,
393,16.0,135.74,10.686514623463154,0.13946676683816583,32862,
394,294.0,137.52,3.3682009998430202,0.138769433003975,33156,
395,254.0,138.39,4.816377843576153,0.13807558583895513,33410,
396,405.0,141.37,3.5451718629878246,0.13738520790976036,33815,
397,16.0,140.39,3.5053250417113304,0.13669828187021155,33831,
398,126.0,141.4,4.062224975890583,0.13601479046086049,33957,
399,247.0,143.75,7.583674894532694,0.1353347165085562,34204,
400,20.0,142.81,2.5584177017211913,0.1346580429260134,34224,163.1
401,29.0,142.56,4.908045051426723,0.13398475271138335,34253,
402,73.0,143.02,3.849233417478326,0.13331482894782642,34326,
403,13.0,142.86,1.811643313903075,0.13264825480308728,34339,
404,16.0,142.03,2.2661384157836437,0.13198501352907185,34355,
405,15.0,141.12,2.4741973280906677,0.1313250884614265,34370,
406,14.0,140.24,5.234281239765031,0.13066846301911936,34384,
407,139.0,141.53,3.544161601461095,0.13001512070402377,34523,
408,159.0,141.84,4.707994772578186,0.12936504510050365,34682,
409,132.0,143.01,3.777480162905924,0.12871821987500112,34814,
410,127.0,144.16,4.091483529862456,0.12807462877562611,34941,
411,119.0,144.2,4.774564372892139,0.12743425563174798,35060,
412,165.0,145.76,4.533076206481818,0.12679708435358925,35225,
413,146.0,147.04,5.432156732433463,0.1261630989318213,35371,
414,300.0,149.0,2.7674480283260348,0.1255322834371622,35671,
415,148.0,149.46,3.2121079952732936,0.12490462201997637,35819,
416,15.0,148.57,3.785281753540039,0.1242800989098765,35834,
417,178.0,150.19,4.600545986649696,0.12365869841532712,36012,
418,192.0,151.1,3.672748387015114,0.12304040492325048,36204,
419,194.0,152.9,4.9760084511692995,0.12242520289863423,36398,
420,234.0,154.24,4.4745101517337,0.12181307688414106,36632,
421,217.0,156.3,4.640237947488161,0.12120401149972035,36849,
422,272.0,158.85,2.864145367899362,0.12059799144222175,37121,
423,337.0,161.02,3.944348796981025,0.11999500148501063,37458,
424,234.0,162.98,3.7184942190209007,0.11939502647758558,37692,
425,134.0,163.3,4.083028814463473,0.11879805134519765,37826,500.0
426,143.0,164.59,4.664520461659332,0.11820406108847166,37969,
427,332.0,166.98,3.9693228700254335,0.1176130407830293,38301,
428,251.0,169.38,4.037766125335161,0.11702497557911415,38552,
429,222.0,170.52,3.1067201270981952,0.11643985070121858,38774,
430,90.0,170.37,4.818384695715374,0.11585765144771248,38864,
431,224.0,171.61,3.6523967310786247,0.11527836319047392,39088,
432,155.0,172.14,4.3762023081702575,0.11470197137452155,39243,
433,161.0,173.48,2.510115799326334,0.11412846151764894,39404,
434,187.0,174.36,4.086832624865088,0.1135578192100607,39591,
435,208.0,175.42,3.482278704499969,0.11299003011401039,39799,
436,218.0,177.34,2.1406676409714813,0.11242507996344034,40017,
